Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Chad,TCD,Gini index,43.3,43.3,43.3,43.3,43.3,37.5,37.5,37.5,37.5,37.5,37.5,37.4,37.4,37.4
Togo,TGO,Gini index,46.0,46.0,46.0,46.0,43.1,43.1,43.1,42.5,42.5,42.5,37.9,37.9,37.9,37.9
Thailand,THA,Gini index,39.4,37.5,39.3,37.8,37.0,36.0,36.9,36.4,36.4,34.9,35.0,34.9,34.9,34.9
Tajikistan,TJK,Gini index,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Turkmenistan,TKM,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Timor-Leste,TLS,Gini index,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7
Trinidad and Tobago,TTO,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Tunisia,TUN,Gini index,35.8,35.8,35.8,32.8,32.8,32.8,32.8,32.8,32.8,33.7,33.7,33.7,33.7,33.7
Turkiye,TUR,Gini index,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,42.4,43.8,43.0,44.4,44.4,44.4
Tanzania,TZA,Gini index,37.8,37.8,37.8,37.8,37.8,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5
Uganda,UGA,Gini index,41.0,41.0,41.0,41.0,41.0,42.8,42.8,42.8,42.7,42.7,42.7,42.7,42.7,42.7
Ukraine,UKR,Gini index,24.8,24.6,24.7,24.6,24.0,25.5,25.0,26.0,26.1,26.6,25.6,25.6,25.6,25.6
Uruguay,URY,Gini index,44.5,42.2,39.9,40.5,40.1,40.1,39.7,39.5,39.7,39.7,40.2,40.8,40.6,40.6
United States,USA,Gini index,40.0,40.9,40.9,40.7,41.5,41.2,41.1,41.2,41.4,41.5,39.7,39.8,39.8,39.8
Uzbekistan,UZB,Gini index,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2
"Venezuela, RB",VEN,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Viet Nam,VNM,Gini index,39.3,39.3,35.6,35.6,34.8,34.8,35.3,35.3,35.7,35.7,36.8,36.8,36.1,36.1
"Yemen, Rep.",YEM,Gini index,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7
South Africa,ZAF,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Zambia,ZMB,Gini index,52.0,52.0,52.0,55.9,55.9,55.9,55.9,55.9,55.9,51.5,51.5,51.5,51.5,51.5
Zimbabwe,ZWE,Gini index,43.2,43.2,43.2,43.2,43.2,44.3,44.3,44.3,44.3,50.3,50.3,50.3,50.3,50.3
